asset_id,post_code,campaign_id,quarter,planned_publish_date,schedule_date,pillar_primary,format_source,format,funnel_stage,platform,on_facebook,on_youtube,title_draft,caption,media_link,cta_label,cta_type,approval_status,status,is_published,platform_native_id_fb,platform_native_id_yt,owner
P-Q2-11,P-Q2-11,CMP-2026-Q2,Q2,2026-05-30,2026-05-30,Testimonial,Ảnh,fb_post,engagement,facebook,Y,N,Hành trình an cư cùng KPIM của khách hàng trẻ,"Hành trình an cư cùng KPIM của khách hàng trẻ. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem câu chuyện. #KPIMBank #KhachHangKPIM",media/Q2/P-Q2-11.jpg,Xem câu chuyện,comment,Approved,published,Y,7121348063197319,,Team Marketing KPIM Bank
P-Q2-12,P-Q2-12,CMP-2026-Q2,Q2,2026-06-05,2026-06-05,Promo,Thước phim,fb_reel,business,youtube,Y,Y,Lãi suất ưu đãi cố định 24 tháng – đăng ký sớm,"Lãi suất ưu đãi cố định 24 tháng – đăng ký sớm! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q2/P-Q2-12.mp4,Đăng ký ngay,register,Approved,published,Y,0226645623268620,wACtkUZozLJ,Team Marketing KPIM Bank
P-Q2-13,P-Q2-13,CMP-2026-Q2,Q2,2026-06-11,2026-06-11,Product,Ảnh,fb_post,conversion,facebook,Y,N,"Trả nợ linh hoạt, tất toán trước hạn phí thấp","Trả nợ linh hoạt, tất toán trước hạn phí thấp. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q2/P-Q2-13.jpg,Tìm hiểu thêm,register,Approved,published,Y,7832522224335881,,Team Marketing KPIM Bank
P-Q2-14,P-Q2-14,CMP-2026-Q2,Q2,2026-06-15,2026-06-15,Education,Thước phim,fb_reel,consumption,youtube,Y,Y,5 sai lầm khi vay mua nhà lần đầu,5 sai lầm khi vay mua nhà lần đầu? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q2/P-Q2-14.mp4,Xem thêm,link_click,Approved,published,Y,8696209086327502,Y4czgvzGD2A,Team Marketing KPIM Bank
P-Q2-15,P-Q2-15,CMP-2026-Q2,Q2,2026-06-22,2026-06-22,Brand,Ảnh,fb_post,discovery,facebook,Y,N,KPIM đồng hành 5.000 gia đình an cư năm qua,KPIM đồng hành 5.000 gia đình an cư năm qua. Cảm ơn bạn đã đồng hành cùng KPIM Bank. Theo dõi KPIM Bank. #KPIMBank,media/Q2/P-Q2-15.jpg,Theo dõi KPIM Bank,none,Approved,published,Y,6030289017256250,,Team Marketing KPIM Bank
P-Q2-16,P-Q2-16,CMP-2026-Q2,Q2,2026-06-08,2026-06-09,Education,Video,long_video,consumption,youtube,Y,Y,Lãi suất thả nổi sau ưu đãi: tính thử cho dễ hình dung,Lãi suất thả nổi sau ưu đãi: tính thử cho dễ hình dung? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q2/P-Q2-16.mp4,Xem thêm,link_click,Need Review,need_review,N,,,Team Marketing KPIM Bank
P-Q2-17,P-Q2-17,CMP-2026-Q2,Q2,2026-06-11,2026-06-11,Product,Ảnh,fb_post,conversion,facebook,Y,N,Gói vay mua nhà 25 năm – điều kiện tối thiểu,"Gói vay mua nhà 25 năm – điều kiện tối thiểu. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q2/P-Q2-17.jpg,Tìm hiểu thêm,register,Approved,approved,N,,,Team Marketing KPIM Bank
P-Q2-18,P-Q2-18,CMP-2026-Q2,Q2,2026-06-14,2026-06-14,HowTo,Video,long_video,consumption,youtube,Y,Y,Chuẩn bị hồ sơ vay mua nhà: checklist 8 giấy tờ,"Chuẩn bị hồ sơ vay mua nhà: checklist 8 giấy tờ — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Xem hướng dẫn. #KPIMBank #HuongDanNhanh",media/Q2/P-Q2-18.mp4,Xem hướng dẫn,link_click,Draft,drafted,N,,,Team Marketing KPIM Bank
P-Q2-19,P-Q2-19,CMP-2026-Q2,Q2,2026-06-17,2026-06-19,Promo,Thước phim,fb_reel,business,facebook,Y,N,Ưu đãi lãi suất cố định 24 tháng – đến hết quý,"Ưu đãi lãi suất cố định 24 tháng – đến hết quý! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q2/P-Q2-19.mp4,Đăng ký ngay,register,Approved,approved,N,,,Team Marketing KPIM Bank
P-Q2-20,P-Q2-20,CMP-2026-Q2,Q2,2026-06-20,2026-06-21,Testimonial,Ảnh,fb_post,engagement,facebook,Y,N,Vợ chồng anh Minh nhận nhà sau 5 tháng,"Vợ chồng anh Minh nhận nhà sau 5 tháng. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem thêm. #KPIMBank #KhachHangKPIM",media/Q2/P-Q2-20.jpg,Xem thêm,comment,Need Revision,drafted,N,,,Team Marketing KPIM Bank
P-Q2-21,P-Q2-21,CMP-2026-Q2,Q2,2026-06-23,2026-06-24,Brand,Ảnh,fb_post,discovery,facebook,Y,N,10 năm KPIM Bank đồng hành cùng gia đình Việt,10 năm KPIM Bank đồng hành cùng gia đình Việt. Cảm ơn bạn đã đồng hành cùng KPIM Bank. Theo dõi KPIM Bank. #KPIMBank,media/Q2/P-Q2-21.jpg,Theo dõi KPIM Bank,none,Need Review,need_review,N,,,Team Marketing KPIM Bank
P-Q2-22,P-Q2-22,CMP-2026-Q2,Q2,2026-06-26,2026-06-27,Education,Ảnh,fb_post,consumption,facebook,Y,N,Nên vay bao nhiêu phần trăm giá trị căn nhà?,Nên vay bao nhiêu phần trăm giá trị căn nhà? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q2/P-Q2-22.jpg,Xem thêm,link_click,Approved,approved,N,,,Team Marketing KPIM Bank
P-Q2-23,P-Q2-23,CMP-2026-Q2,Q2,2026-06-29,2026-06-29,HowTo,Thước phim,fb_reel,consumption,facebook,Y,N,Tra cứu tiến độ hồ sơ vay trên app,"Tra cứu tiến độ hồ sơ vay trên app — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Xem hướng dẫn. #KPIMBank #HuongDanNhanh",media/Q2/P-Q2-23.mp4,Xem hướng dẫn,link_click,Rejected,rejected,N,,,Team Marketing KPIM Bank
P-Q2-24,P-Q2-24,CMP-2026-Q2,Q2,2026-07-02,2026-07-02,Promo,Ảnh,fb_post,business,facebook,Y,N,Miễn phí định giá tài sản trong tháng 6,"Miễn phí định giá tài sản trong tháng 6! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q2/P-Q2-24.jpg,Đăng ký ngay,register,Need Revision,drafted,N,,,Team Marketing KPIM Bank
P-Q2-25,P-Q2-25,CMP-2026-Q2,Q2,2026-07-05,2026-07-05,Product,Liên kết,fb_post,conversion,facebook,Y,N,Công cụ tính khoản trả hằng tháng,"Công cụ tính khoản trả hằng tháng. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q2/P-Q2-25.jpg,Tìm hiểu thêm,register,Approved,approved,N,,,Team Marketing KPIM Bank
